,tweet_id,favorites,retweets
1172,737310737551491075,15329,7888
1173,737322739594330112,3768,861
1174,737445876994609152,10742,4747
1175,737678689543020544,5262,1416
1176,737800304142471168,10434,3679
1177,737826014890496000,5500,1869
1178,738156290900254721,2642,697
1179,738166403467907072,9192,3615
1180,738184450748633089,4497,1284
1181,738402415918125056,3397,893
1182,738537504001953792,5318,1661
1183,738883359779196928,3479,863
1184,738885046782832640,3935,1215
1185,739238157791694849,121153,61776
1186,739485634323156992,7508,3128
1187,739544079319588864,41457,22755
1188,739606147276148736,5611,1764
1189,739844404073074688,3961,908
1190,739932936087216128,4236,1148
1191,739979191639244800,20861,6304
1192,740214038584557568,6993,2093
1193,740359016048689152,3447,911
1194,740365076218183684,2587,463
1195,740373189193256964,36389,14158
1196,740676976021798912,18977,7227
1197,740699697422163968,2963,832
1198,740711788199743490,3560,993
1199,740995100998766593,6693,2951
1200,741067306818797568,9881,3288
1201,741303864243200000,9169,3449
1202,741438259667034112,3839,888
1203,741743634094141440,8555,2940
1204,741793263812808706,4774,1605
1205,742150209887731712,5369,1661
1206,742161199639494656,4539,1466
1207,742385895052087300,7119,2117
1208,742423170473463808,10283,4042
1209,742465774154047488,7590,4147
1210,742528092657332225,4630,2125
1211,743210557239623680,4017,1456
1212,743222593470234624,6475,2028
1213,743253157753532416,4423,1301
1214,743510151680958465,8275,3942
1215,743545585370791937,3681,995
1216,743595368194129920,19316,7013
1217,743609206067040256,4682,1472
1218,743895849529389061,3813,1020
1219,743980027717509120,4351,1158
1220,744234799360020481,163979,83427
1221,744334592493166593,7076,2279
1222,744709971296780288,5849,1665
1223,744971049620602880,8248,2876
1224,744995568523612160,3112,662
1225,745057283344719872,7566,2426
1226,745314880350101504,7516,2960
1227,745422732645535745,8982,2593
1228,745433870967832576,7429,2705
1229,745712589599014916,7319,2477
1230,745789745784041472,4220,1138
1231,746056683365994496,3716,868
1232,746131877086527488,7244,2352
1233,746369468511756288,6459,1754
1234,746507379341139972,4856,1155
1235,746726898085036033,6327,1913
1236,746790600704425984,5111,1697
1237,746818907684614144,5560,1846
1238,746872823977771008,6285,2297
1239,746906459439529985,3020,316
1240,747103485104099331,10046,4259
1241,747204161125646336,3539,983
1242,747219827526344708,5535,1690
1243,747461612269887489,4047,1099
1244,747512671126323200,5819,1695
1245,747594051852075008,3873,1122
1246,747600769478692864,2432,588
1247,747816857231626240,5081,1243
1248,747844099428986880,2947,803
1249,747885874273214464,3095,1052
1250,747933425676525569,6947,2726
1251,747963614829678593,6064,2293
1252,748307329658011649,3846,761
1253,748324050481647620,3883,819
1254,748346686624440324,5497,1329
1255,748568946752774144,2291,718
1256,748575535303884801,6366,2124
1257,748692773788876800,4451,1422
1258,748699167502000129,4966,1710
1259,748705597323898880,2903,1015
1260,748932637671223296,6138,2419
1261,748977405889503236,11260,3640
1262,749036806121881602,3259,838
1263,749064354620928000,5030,1623
1264,749317047558017024,5759,2371
1265,749395845976588288,9048,3714
1266,749403093750648834,2758,583
1267,749417653287129088,6403,1782
1268,749774190421639168,4890,1406
1269,749981277374128128,5368,2626
1270,749996283729883136,3195,869
1271,750011400160841729,3411,974
1272,750026558547456000,2850,843
1273,750041628174217216,3339,664
1274,750056684286914561,3303,959
1275,750071704093859840,8270,3585
1276,750086836815486976,2284,584
1277,750101899009982464,3190,906
1278,750117059602808832,4559,1394
1279,750132105863102464,3822,1368
1280,750147208377409536,3262,1036
1281,750383411068534784,4787,1221
1282,750429297815552001,13867,4623
1283,750506206503038976,4674,1234
1284,750719632563142656,13899,5412
1285,750868782890057730,5026,1486
1286,751132876104687617,5344,1397
1287,751205363882532864,6637,1967
1288,751251247299190784,13149,6302
1289,751456908746354688,3369,1074
1290,751538714308972544,5301,1358
1291,751583847268179968,4634,1194
1292,751598357617971201,8314,3269
1293,751830394383790080,6112,2105
1294,751937170840121344,5485,1446
1295,752173152931807232,6264,1985
1296,752309394570878976,0,17953
1297,752334515931054080,4020,1184
1298,752519690950500352,7768,3704
1299,752660715232722944,4646,1695
1300,752682090207055872,6297,1725
1301,752917284578922496,7266,1697
1302,753026973505581056,4103,1049
1303,753294487569522689,3574,1120
1304,753375668877008896,8036,2507
1305,753398408988139520,6088,2067
1306,753420520834629632,8357,3839
1307,753655901052166144,6159,2338
1308,754120377874386944,8262,2516
1309,754449512966619136,3948,789
1310,754482103782404096,5587,2098
1311,754747087846248448,2711,561
1312,754856583969079297,7247,2719
1313,754874841593970688,0,8608
1314,755110668769038337,22378,11929
1315,755206590534418437,17364,5801
1316,755955933503782912,7737,3110
1317,756275833623502848,6778,1637
1318,756288534030475264,45170,18808
1319,756303284449767430,4159,1167
1320,756526248105566208,10968,3890
1321,756651752796094464,5339,1409
